"replicate","pipeline","metric","dimension","score","rank"
2,"smoothed","spatial_entropy",2,-2.77263394112741,2
2,"smoothed","spatial_entropy",5,-2.88932000898824,3
2,"smoothed","spatial_entropy",3,-2.89915069339936,4
2,"smoothed","spatial_entropy",10,-2.93567045596785,5
2,"smoothed","spatial_entropy",4,-2.99650480408315,6
2,"smoothed","spatial_entropy",7,-3.01322065033111,7
2,"smoothed","spatial_entropy",9,-3.01444531393192,8
2,"smoothed","spatial_entropy",8,-3.01929795492067,9
2,"smoothed","spatial_entropy",6,-3.02054679246126,10
2,"smooth_eq","morans_I",1,0.78476895583126,1
2,"smooth_eq","morans_I",2,0.674962663254206,2
2,"smooth_eq","morans_I",3,0.34394922367073,3
2,"smooth_eq","morans_I",4,0.0552472230904713,4
2,"smooth_eq","morans_I",7,0.0185840537637598,5
2,"smooth_eq","morans_I",10,0.011426306032205,6
2,"smooth_eq","morans_I",6,-0.0012082759317283,7
2,"smooth_eq","morans_I",8,-0.00371965034251505,8
2,"smooth_eq","morans_I",9,-0.00380959777607264,9
2,"smooth_eq","morans_I",5,-0.00392147546896834,10
2,"smooth_eq","gearys_C",1,1.79022789653377,1
2,"smooth_eq","gearys_C",2,1.68580651686159,2
2,"smooth_eq","gearys_C",3,1.34163152466602,3
2,"smooth_eq","gearys_C",4,1.05930331038324,4
2,"smooth_eq","gearys_C",7,1.00795795624327,5
2,"smooth_eq","gearys_C",10,1.00553581262427,6
2,"smooth_eq","gearys_C",6,0.99727964805662,7
2,"smooth_eq","gearys_C",9,0.991719856713602,8
2,"smooth_eq","gearys_C",5,0.990477708926054,9
2,"smooth_eq","gearys_C",8,0.990031738690399,10
2,"smooth_eq","spatial_entropy",1,-2.65755914194162,1
2,"smooth_eq","spatial_entropy",2,-2.78327953095609,2
2,"smooth_eq","spatial_entropy",5,-2.88932000898824,3
2,"smooth_eq","spatial_entropy",10,-2.93567045596785,4
2,"smooth_eq","spatial_entropy",3,-2.96272687317244,5
2,"smooth_eq","spatial_entropy",4,-2.99650480408315,6
2,"smooth_eq","spatial_entropy",7,-3.01322065033111,7
2,"smooth_eq","spatial_entropy",9,-3.01444531393192,8
2,"smooth_eq","spatial_entropy",8,-3.01929795492067,9
2,"smooth_eq","spatial_entropy",6,-3.02054679246126,10
3,"raw","morans_I",1,0.792757576444336,1
3,"raw","morans_I",2,0.114685819928943,2
3,"raw","morans_I",10,0.0267818297420254,3
3,"raw","morans_I",5,0.0108315893068699,4
3,"raw","morans_I",9,-0.00278627382230476,5
3,"raw","morans_I",3,-0.00415553722884693,6
3,"raw","morans_I",6,-0.00796906255313164,7
3,"raw","morans_I",7,-0.00957498341205173,8
3,"raw","morans_I",4,-0.0211222091439617,9
3,"raw","morans_I",8,-0.0284602689689764,10
3,"raw","gearys_C",1,1.78886214446722,1
3,"raw","gearys_C",2,1.09897980342305,2
3,"raw","gearys_C",10,1.03523494733058,3
3,"raw","gearys_C",5,1.00762066281379,4
